rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/the_peanuts_movie,Sara Michelle Fetters,False,MovieFreak.com,Fresh,3.5/4,2016-08-22,"To paraphrase a speech made once upon a time in a pumpkin patch, there's no hypocrisy to be found in any of this, just sincerity, pretty much as far as the eye can see."
m/risen_2016,Richard Roeper,True,Chicago Sun-Times,Rotten,2/4,2016-02-18,"Fiennes sticks with the brooding, stoic performance, even when Clavius is undergoing some major changes. It's not his best work."
m/shining,Ken Hanke,False,"Mountain Xpress (Asheville, NC)",Fresh,5/5,2004-03-09,"Regardless of how you read the film, there's little denying that it's a masterful work."
m/to_sleep_with_anger,Michael Sragow,True,New Yorker,Fresh,,2015-04-06,"Burnett and his cast tap depths of mystery, soulfulness, and glee."
m/the_hero_2017,Rob Thomas,False,"Capital Times (Madison, WI)",Fresh,3/4,2017-06-30,"Elliott follows up a string of strong supporting work in recent indie films like ""I'll See You in My Dreams,"" and ""Grandma"" with a layered central performance, one of his best in years."
m/shiri2002,Bryant Frazer,False,Bryant Frazer's Deep Focus,Fresh,B-,2002-02-24,Proves mainly that South Korean filmmakers can make undemanding action movies with all the alacrity of their Hollywood counterparts.
m/bloodshot_2020,Shyama Krishna Kumar,False,Gulf News (UAE),Fresh,,2020-03-12,"All in all, despite its flaws, director David S F Wilson's film offers a glimmer of something new and unpredictable in a genre that's begging to be injected with some new blood."
m/the_hero_2017,Robert Denerstein,False,Denerstein Unleashed,Rotten,,2017-08-28,"[Elliot's] a pleasure to watch, but a little more movie would have been welcome, too."
m/secret_ballot,J. Hoberman,True,Village Voice,Fresh,,2002-08-06,"Methodical, measured, and gently tedious in its comedy, Secret Ballot is a purposefully reductive movie -- which may be why it's so successful at lodging itself in the brain."
m/the_worlds_end,A.O. Scott,True,New York Times,Fresh,4/5,2013-08-22,"""The World's End"" is more like an antic sugar high than a reeling, drunken stupor. There are no headaches, dry mouth or crushing shame at the end - no ""Hangover,"" in other words. I'll drink to that."
m/foxcatcher,Alistair Ryder,False,Cinemole,Fresh,4/5,2018-10-24,Bennett Miller has truly excelled by taking an unconventional look at the story.
m/all_the_money_in_the_world_2017,Sara Michelle Fetters,False,MovieFreak.com,Fresh,3/4,2017-12-28,"All the Money in the World works, the celebrated filmmaker showing just why he is one of the most justifiably lauded directors of his generation, his latest movie well worth the ticket price of theatrical admission."
m/spring_2015,Alan Scherstuhl,True,Village Voice,Fresh,,2015-03-17,The suspense and pleasure of Justin Benson and Aaron Moorhead's talking-and-tentacles horror romance Spring lies in discovering what shape the film is going to take.
m/some_kind_of_wonderful,Janet Maslin,True,New York Times,Fresh,3.5/5,2003-05-20,The film creates a perfect embodiment of every adolescent's nightmare.
m/spenser_confidential,Barry Hertz,True,Globe and Mail,Rotten,2/4,2020-03-06,"The action is muted, the production design lacklustre, and the momentum engineered for frequent bathroom breaks and other household distractions."
m/lucy_2014,Kurt Loder,False,Reason Online,Fresh,,2014-07-25,"Besson thrives on this sort of baloney, and his enthusiasm can be infectious."
m/rough_night,Jake Wilson,True,The Age (Australia),Rotten,2.5/5,2017-06-15,"The film could have worked if it had embraced the illicit fantasy at its core... But Aniello shies away, never finding a tone that would allow her to fuse edgy black comedy with the genre's mandatory celebration of female friendship."
m/letters_to_juliet,Clint O'Connor,False,Cleveland Plain Dealer,Rotten,C,2010-05-14,"If you dropped a feather and Letters to Juliet from a tall building simultaneously, which one would hit the ground first? It's lightweight and lazy, an outline for a movie."
m/duplicity_2009,John Beifuss,False,"Commercial Appeal (Memphis, TN)",Rotten,2.5/4,2009-04-06,"Gilroy makes the mistake of applying the artful lighting, measured pace and severe sensibility of 'Michael Clayton' to screwball caper material."
m/music_of_the_heart,John R. McEwen,False,Film Quips Online,Rotten,3/5,2003-02-08,"Novice writer Pamela Gray has pumped this already-amazing story full of melodramatic embellishment and, in so doing, all but ruined its impact."
m/girl_who_played_with_fire,Sara Michelle Fetters,False,MovieFreak.com,Rotten,2.5/4,2010-07-08,"Unfortunately, even with its two stars delivering crackerjack performances this sequel just doesn't work enough to warrant the thicket price making the much-hyped return of Lisbeth Salander a maddening disappointment."
m/saving_silverman,Richard Propes,False,TheIndependentCritic.com,Fresh,3/4,2020-09-21,"Zahn always brings enthusiasm and energy to his roles, and this role is no exception."
m/1058517-little_women,Geoff Andrew,True,Time Out,Fresh,,2006-02-09,"Be prepared, however, for a large beaker of the milk of human kindness."
m/thomas_crown_affair_the,Steve Murray,True,Atlanta Journal-Constitution,Fresh,,2000-01-01,"Crown is a guilt-free pleasure, a way to waste a couple of hours happily at the theater without encountering computer-generated monsters or teenagers losing their virginity."
m/10000_bc,Matthew Lucas,False,"The Dispatch (Lexington, NC)",Rotten,1.5/4,2019-06-06,A prehistoric train wreck.
m/trouble_the_water,MaryAnn Johanson,False,Flick Filosopher,Fresh,,2008-10-22,"Some documentaries change how you see the world. Some change how you see yourself. Trouble the Water... astonishingly, does both..."
m/no_escape_2015,Stephen Silver,False,Patch,Rotten,1/5,2015-08-25,"The Taken-ripoff genre reaches another nadir, as this film has absolutely zero concern with the country in which it's set or the people in it."
m/frank_millers_sin_city_a_dame_to_kill_for,Dann Gire,False,Chicago Daily Herald,Fresh,3.5/4,2014-08-21,"In Sin City, the prose is purple (""She slips out of her coat like it's Christmas wrapping"") and the cons are plentiful. And every scene sucker-punches your eyeballs."
m/kung_fu_panda,Carina Chocano,True,Los Angeles Times,Rotten,,2008-06-06,"The message -- believe in yourself even when all evidence suggests you shouldn't -- is annoyingly familiar and frankly overdue for a serious debunking, but it's not about to happen here."
m/beatles_a_hard_days_night,Tony Sokol,False,Den of Geek,Fresh,5/5,2017-04-26,"It is fun and it will never cease to be fun. Monstrous marauding aliens can find a time capsule of this millennia after our sun collapses on itself and if they don't laugh, they should seek counseling."
m/draft_day,James Rocchi,False,About.com,Fresh,3/5,2014-04-11,"Draft Day is the cinema equivalent of a steak dinner at a red-banquette place -- a little hokey, a little retro, without a single surprise but not without a few high points."
m/somers_town,Chris Hewitt,False,St. Paul Pioneer Press,Fresh,3/4,2009-07-15,
m/welcome_to_mooseport,Andrea Chase,False,Killer Movie Reviews,Rotten,2/5,2004-02-19,What should have been an amiable if unremarkable comedy never rises much above the chuckle level as it attempts to pay homage to the eccentricity of small town life
m/this_beautiful_fantastic_2017,James Croot,False,Stuff.co.nz,Fresh,3/5,2017-06-15,"Finlay reminds one of a young Winona Ryder as she winsomely juggles learning to garden with letting her guard down, while the always watchable Andrew Scott once again proves to be a scene-stealer with his kindly cook."
m/emanuel,Brett McCracken,False,The Gospel Coalition,Fresh,,2019-08-19,"In an American society where the ubiquity of mass shootings and racially motivated violence leave some tragically numb to their evil, films like this are urgent and important."
m/urban_hymn,Rachel Bowles,False,The Skinny,Fresh,3/5,2016-02-29,"Urban Hymn's strength lies in its strong female leads, particularly Laughland's visceral turn as the volatile Leanne."
m/bride_of_the_wind,Jay Carr,True,Boston Globe,Rotten,,2001-06-22,It skims Alma's life like a thrown rock skipping over a pond.
m/1202807-easy_virtue,Kirk Honeycutt,True,Hollywood Reporter,Fresh,,2008-10-03,"The film is a visual and verbal treat as Elliott prowls a stately home and its verdant, foggy grounds with an eye and an ear for puncturing pomposity in all its forms."
m/rise_of_the_planet_of_the_apes,Matthew Pejkovic,False,Matt's Movie Reviews,Fresh,,2011-08-11,"Rise of the Planet of the Apes is an ethically rich blockbuster about evolution, revolution, animal rights and science madness, told through game changing VFX wizardry sure to make viewers go ape."
m/deepwater_horizon,Steve Persall,False,Tampa Bay Times,Fresh,B,2016-10-03,"... a brawny hybrid of technical expertise and real-life tragedy, with neither quality getting shortchanged... That 2010 oil spill was horrible; Deepwater Horizon wants us to also remember the blood spill."
m/remember_2016,Nicholas Bell,False,IONCINEMA.com,Rotten,2.5/5,2020-10-08,"Gimmicky and arguably exploitational, a lead performance from Christopher Plummer manages to make this problematic feature a bit more palatable than expected."
m/cruel_intentions,Peter Bradshaw,True,Guardian,Rotten,,2019-03-21,Cruel Intentions should have been a great idea.
m/london_river,Peter Bradshaw,True,Guardian,Fresh,3/5,2010-07-08,"It's taken a very long time to get released here. But London River is a thoughtful, resonant meditation on 7/7."
m/blue_velvet,Sean Axmaker,False,Stream on Demand,Fresh,,2017-03-10,David Lynch looks behind the smiling faces and stucco houses of small town America and finds a shadow world of pure evil in Blue Velvet.
m/10011984-last_song,S. Jhoanna Robledo,False,Common Sense Media,Rotten,2/5,2010-04-02,"Sweet Miley Cyrus drama depicts first love, family troubles."
m/1097991-george_washington,Brent Simon,False,Entertainment Today,Fresh,B+,2002-08-27,"Combines the earthy lyricism of Terrence Malick with the muted eccentricities of a young David Lynch... a [gorgeous], quietly idealistic tale of adolescent soul-searching."
m/the_giver,Claudia Puig,True,USA Today,Rotten,2/4,2014-08-14,"It changes some plot points, but more important it lacks the resonance and mythic quality of Lowry's literary allegory."
m/the_look_of_silence,Chris Nashawaty,True,Entertainment Weekly,Fresh,A,2015-07-21,The Look of Silence in some ways manages to burrow deeper into your soul...and your nightmares.
m/citizenfour,Dann Gire,False,Chicago Daily Herald,Fresh,4/4,2014-10-30,Citizenfour moves like a master spy novel.
m/wag_the_dog,Gary Brown,False,Houston Community Newspapers,Fresh,B+,2007-05-09,Strong performances abound in the film.
m/reds,Wesley Lovell,False,Cinema Sight,Fresh,4/4,2011-08-15,Warren Beatty's political epic features superlative performances and speaks to the inner-rebel in each of us.
m/fast_five,Ben Kendrick,False,Screen Rant,Fresh,3.5/5,2012-10-02,The series has found new traction in the heist format -- resulting in a fun and immensely entertaining ride.
m/computer_chess_2013,Walter Chaw,False,Film Freak Central,Fresh,4/4,2013-07-21,"Sneakily, the best science-fiction film of the summer."
m/gone_girl,Gary Dowell,False,Dark Horizons,Fresh,,2014-10-09,"It's increasingly difficult to craft a plausible and unpredictable thriller, but Gone Girl actually manages to keep us on our toes."
m/how_to_train_your_dragon,Widgett Walls,False,Needcoffee.com,Fresh,4/5,2010-04-04,"It's not only better than I thought it was going to be, it's a lot better than I thought it was going to be."
m/horrible_bosses,Michael A. Smith,False,Nolan's Pop Culture Review,Fresh,4/5,2011-07-07,"Day, who was the best thing about last years rom-com ""Going the Distance,"" is hilarious here."
m/kung_fu_hustle,Brian Orndorf,False,FilmJerk.com,Fresh,B-,2005-04-07,"Simple ideas resound the loudest in Hustle, never the overtly choreographed fights or blistering visual effects. Chow is at his best when it's just him to contend with."
m/cradle_2_the_grave,Emily Blunt,False,Blunt Review,Fresh,3/4,2003-02-28,
m/how_to_train_your_dragon,Matt Pais,False,Metromix.com,Fresh,3/5,2010-03-25,"An enjoyable ride if your brain wants some time off. Come for the occasional high-flying adventure, snooze for everything else."
m/gimme_danger,Judy Berman,False,Pitchfork,Fresh,,2017-09-21,"... by getting Iggy to talk about his art rather than his antics, Jarmusch performs the delicate feat of elucidating a beloved rock'n'roll persona without exploding it."
m/django_unchained_2012,Ade Adeniji,False,The Rumpus,Fresh,,2018-08-24,"Django Unchained is a must see, full stop. At the very least, films like this are an experience."
m/mad_hot_ballroom,Robert Koehler,True,Variety,Fresh,,2005-05-13,Director Marilyn Agrelo is able to capture with easy charm and grace what happens between 10- and 11-year-old boys and girls as they break out of their childhood shells and interact with each other.
m/the_grey_2012,Nick Rogers,False,The Film Yap,Fresh,4.5/5,2012-01-28,"Sure, Neeson stares down Mother Nature and tells the bitch to step. But ""The Grey"" mostly foregoes machismo for mourning and promotes the value of dying in the company of that which calms us ... even if it's reclaiming a rage to go down swinging."
m/truth_2015,Travis Hopson,False,Examiner.com,Fresh,3/5,2015-10-30,"Ironically the film tends to be a bit fuzzy on the details, leaving it open to scrutiny."
m/black_narcissus,Tim Dirks,False,AMC Filmsite,Fresh,A,2019-09-28,"Black Narcissus (1947) is a provocative, dazzling and rich-colored psychological-religious and sexual drama from the legendary partnership duo of the 'Archers': British director Michael Powell and scriptwriter Emeric Pressburger."
m/battle_in_seattle,Matt Pais,False,Metromix.com,Fresh,3.5/5,2008-09-18,A tense debut about the need for stern yet peaceful action when so many global frustrations are already primed to blow.
m/the_age_of_adaline,Emine Yildirim,False,Today's Zaman (Turkey),Fresh,,2016-02-29,The Age of Adaline is a bold and elegant film that treats its characters with respect and refrains from exploiting its very exploitable premise.
m/turistas,Cole Smithey,False,ColeSmithey.com,Fresh,B-,2006-11-27,"Riding the current wave of horror movies populated with American travelers preyed upon by torturing crazies, ""Turistas"" plays its suspense trump card as the first American film shot entirely in Brazil."
m/baby_driver,Nick Newman,False,The Film Stage,Fresh,B+,2017-06-27,Wright doesn't simply apply technical precision and innovation to genre-smart storytelling - he also makes what must be exhausting work look like so much fun.
m/proud_mary,Christopher James,False,AwardsCircuit.com,Rotten,1/4,2018-10-30,"Perhaps the biggest slight against ""Proud Mary"" is that nothing happens. It's an action movie without action. It's a drama without real drama. In short, it's a complete bore."
m/1015530-on_the_beach,Clyde Gilmour,False,Maclean's Magazine,Fresh,,2019-10-07,"...the haunting ""fallout"" of the drama lingers deeply in the mind, and Kramer in my catalogue was the producer of the year for daring to make a movie about the atomic destruction of the human race-and to release it a few days before Christmas."
m/victoria_and_abdul,Jason Best,False,Movie Talk,Rotten,,2017-09-15,"Dench, predictably, is superb. A shame, then, that at times she appears to have been cast in Carry on Vic."
m/10009624-promotion,Lisa Schwarzbaum,True,Entertainment Weekly,Rotten,C+,2008-06-06,"The Promotion edges toward some pretty bleak stuff. Then it steps back and laughs, like an office slacker."
m/10008502-christmas_carol,Susan Granger,False,SSG Syndicate,Fresh,8/10,2009-11-04,"Utilizing performance-capture technology, it's intricate and ingenious, offering a 3-D fantasy/adventure thrill ride, soaring into the holiday season."
m/marinoni_the_fire_in_the_frame,Norman Wilner,False,NOW Toronto,Fresh,4/5,2015-12-18,"If a documentary is only as good as its subject, then Marinoni: The Fire In The Frame is golden."
m/southside_with_you,Chris Knight,False,National Post,Rotten,2/4,2016-08-26,"Southside With You, while sweet and never less than reverent with its subjects, is hardly one of the great on-screen romances. It's also remarkably devoid of tension."
m/soloist,Ryan Stewart,False,Slant Magazine,Rotten,1.5/4,2009-04-23,"An emotionally tone deaf and, typical of the director, gimmick-laden and aggressively polished adaptation."
m/dream_home_2010,Sara Michelle Fetters,False,MovieFreak.com,Fresh,3/4,2011-02-10,"The film is a surprisingly hilarious and deeply sickening midnight freak-out, and for a director known more for character-driven melodramas and comedies it's a delectably disgusting change of pace worth crowing about."
m/eternal_sunshine_of_the_spotless_mind,Ann Hornaday,True,Washington Post,Fresh,,2004-03-19,The perfect movie about love's inevitable imperfections.
m/yards,Desson Thomson,True,Washington Post,Rotten,2.5/5,2000-01-01,A great director's losing battle against a goofy script.
m/a_dangerous_method,Gary Wolcott,False,Tri-City Herald,Rotten,3/5,2012-02-03,Worthy performances. Yes. But it's just not enough. My analysis Drs. Freud and Jung: your patients and students just won't care.
m/thank_you_for_playing,Noel Murray,True,Los Angeles Times,Fresh,,2016-03-21,"Make no mistake: This film is a tear-jerker, taking an intimate look at one family's heartbreak and how their art moves people."
m/uss_indianapolis_men_of_courage,Ignatiy Vishnevetsky,True,AV Club,Rotten,D,2016-11-09,Every expense has been spared: The sets are either claustrophobically limited or anonymously empty; the period detail is nonexistent; and the special effects are on par with a Syfy original.
m/with_honors,Scott Weinberg,False,eFilmCritic.com,Rotten,1/5,2002-07-26,
m/drag_me_to_hell,Victoria Alexander,False,FilmsInReview.com,Fresh,,2009-05-27,"Sam Raimi does not cheat us. I believe in curses and after Drag Me to Hell, so will you."
m/thin_line_between_love_and_hate,Emanuel Levy,False,EmanuelLevy.Com,Rotten,2/5,2005-07-23,
m/resident_evil_afterlife,Eric D. Snider,True,Film.com,Rotten,C+,2010-09-10,"Like pretty much all of Anderson's films, this one is half-baked. The half that's baked isn't too bad, though."
m/invasion,Bill Gibron,False,PopMatters,Rotten,2.5/5,2007-08-18,The Invasion's conceit is so laidback that it actually takes a while to realize the world is going to Hell.
m/heart_of_gold,Jonathan Kiefer,False,Sacramento News & Review,Fresh,4/5,2006-05-12,The beauty of the movie is in how alive it all sounds: rich and rueful and satisfying.
m/mad_max,Scott Nash,False,Three Movie Buffs,Fresh,3/4,2012-03-29,Mel Gibson rules the road in the original Mad Max.
m/gleason_2016,Mike Scott,False,Times-Picayune,Fresh,5/5,2016-07-26,A powerful and inspiring portrait of unbowed strength and courage in the face of great adversity. Must-see cinema for anyone in need of a psychic pick-me-up.
m/the_kid,Luis Martinez,False,Cinenganos,Fresh,8/10,2002-06-03,"Si el nio que alguna vez fuimos nos preguntara qu es lo ms importante que hemos aprendido en nuestra vida, qu responderamos?"
m/whats_the_worst_that_could_happen,Frank Swietek,False,One Guy's Opinion,Rotten,F,2001-05-30,So clumsily constructed and crudely performed that it's numbingly unfunny.
m/war_for_the_planet_of_the_apes,Alison Rowat,False,The Herald (Scotland),Fresh,4/5,2018-08-22,Go apes!
m/iron_man,Bob Mondello,True,NPR.org,Fresh,,2008-10-18,"If every superhero franchise had a Robert Downey Jr., the genre might actually be watchable again."
m/ma_vie_en_rose,Owen Gleiberman,True,Entertainment Weekly,Fresh,B+,2011-09-07,
m/the_illusionist-2009,Jim Lane,False,Sacramento News & Review,Fresh,3/5,2011-03-14,"The story is rather cold and uninvolving, but the very look of the movie is striking and never dull."
m/absence_of_malice,Janet Maslin,True,New York Times,Fresh,4/5,2003-05-20,"What Mr. Pollack's movies lack in momentum, they make up for in quiet gravity."
m/manglehorn,Steven Rea,True,Philadelphia Inquirer,Rotten,2/4,2015-07-02,"If Manglehorn is to be remembered at all, it shall be for the excruciating first date that its title character goes on with a chirpy bank clerk he has long been chatting up."
m/comedian,Ann Hornaday,True,Washington Post,Fresh,,2002-10-25,What begins as an indulgent vanity piece (Seinfeld was a producer of the film) ends up as a fascinating portrait of creativity at its most compulsive.
m/snowden,Sonny Bunch,False,Washington Free Beacon,Rotten,2/4,2016-09-16,That rarest of creatures: a boring Oliver Stone movie.
m/the_calling_2014,Linda Barnard,True,Toronto Star,Rotten,2/4,2014-08-28,Here's a mystery: what the heck is Susan Sarandon doing north of the border in a low-budget Canadian thriller called The Calling?
m/resistance_2020,Todd Jorgenson,False,Cinemalogue,Fresh,,2020-04-01,"While it too often settles for World War II clichés, this uneven biopic benefits from evocative visual flourishes, committed performances, and a remarkable true story."
m/red_state,Jason Best,False,Movie Talk,Fresh,,2012-01-25,"Taking equal opportunity swipes at Christian fundamentalist bigots and the US government, Kevin Smith's subversively satirical movie keeps its audience continually off balance."
m/other_boleyn_girl,Ty Burr,True,Boston Globe,Rotten,1.5/4,2008-02-29,"The Other Boleyn Girl is the kind of potted historical drama that's not good enough to take seriously and, sadly, not bad enough to be any fun."
m/anywhere_but_here,Wesley Morris,False,San Francisco Examiner,Fresh,,2000-01-01,"It's is a monumentally graceful union of two extremely dissimilar stars, one inspired cinematographer and an exceptionally patient, curious, independent-minded director."
m/1013775-metropolis,Allen Almachar,False,The MacGuffin,Fresh,,2020-07-24,"Lang and his colleagues achieved something using creativity, ingenuity, and a willingness to step beyond certain boundaries. And now their work is celebrated, generations later."
m/10008617-midnight_meat_train,David Nusair,False,Reel Film Reviews,Rotten,1/4,2018-06-23,Initially intriguing yet ultimately atrocious...
m/bitter_feast,Mark Olsen,True,Village Voice,Fresh,,2010-10-12,"Zesty fun for its actors, Feast is at once a sly parody of the celebrity-chef culture spawned by all the cable cooking shows and competitions, and a creepy little chamber-piece."
m/notorious_betty_page,Phil Hall,False,EDGE Boston,Fresh,2.5/5,2006-04-14,The chance for a great film has been lost in favor of an okay film with great moments.
m/fat_girl,Pam Grady,False,Reel.com,Fresh,2.5/4,2001-10-12,"Fat Girl's final third represents such a bizarre shift in tone that, at first, it feels capricious. But Breillat carefully seeds what comes before it with subtle clues of what is to come."
m/stunt_man,Janet Maslin,True,New York Times,Rotten,,2004-08-30,"Mr. Rush keeps the film moving busily, sometimes entertainingly, forward. But he seldom offers his audience enough incentive to puzzle through a wild overabundance of riddles."
m/choke,Mike Scott,False,Times-Picayune,Rotten,1.5/4,2009-09-04,"Choke is an admirably fearless no-net movie, but rather than wowing the crowd below, it lands in the center of the big top with a resounding thud."
m/miss_bala_2011,Emanuel Levy,False,EmanuelLevy.Com,Fresh,B+,2012-01-16,"Announcing the arrival of a new directorial talent, Miss Bala is a powerfully haunting crime-thriller, which could be taken realistically as well as allegorically."
m/spiderhole,Bill Gibron,False,PopMatters,Fresh,3/5,2011-07-30,"It's not perfect. Heck, at times, it's barely passable."
m/way_of_the_gun,Jeffrey Overstreet,False,Looking Closer,Rotten,C,2004-12-06,"It wants to keep you guessing, but there are so many twists and turns that I gave up trying to guess."
m/tread,Jonathan W. Hickman,False,Daily Film Fix,Fresh,8/10,2020-02-22,"An alarming warning sign, ""Tread"" is a tale of men who work with their calloused, grease infused hands, and despite vast differences, it's the work, the hard, dangerous, painful work that unites them."
m/beware_of_mr_baker,Brent Simon,False,Shared Darkness,Fresh,B,2013-04-15,"By turns sad and darkly comedic, but never less than mesmerizing -- a moving and morally conflicted portrait of a true questing spirit."
m/1011623-king_of_comedy,Carol Cling,False,Las Vegas Review-Journal,Fresh,5/5,2003-08-29,
m/like_crazy,Matthew Turner,False,ViewLondon,Fresh,3/5,2011-10-13,Engaging romantic drama with some effective directorial touches and a terrific pair of performances from Felicity Jones and Anton Yelchin...
m/about_schmidt,Andrew Sarris,True,Observer,Rotten,,2002-10-02,"Both as satire and as drama, About Schmidt turns out to be a fascinating setback."
m/pride_of_the_yankees,Ken Hanke,False,"Mountain Xpress (Asheville, NC)",Fresh,4/5,2003-01-22,Good biopic of Lou Gehrig. Splendid Gary Cooper performance.
m/black_nativity,Allen Almachar,False,The MacGuffin,Rotten,,2020-07-28,"We're in that strange area where a film balances between two opposite ends: it's impossible to hate, but really tough to love"
m/10010229-dostana,Mark Olsen,True,Los Angeles Times,Fresh,,2008-11-20,By turns exuberant and goofy and mushy and yearning.
m/harry_potter_and_the_deathly_hallows_part_2_2011,Kevin Carr,False,7M Pictures,Fresh,4.5/5,2011-07-15,"One of the most faithful adaptations of any source material I have seen, in this series or outside of it... If only Hollywood would make more movies like this."
m/station_agent,Rick Groen,True,Globe and Mail,Fresh,3/4,2003-10-10,"The kind of film that's sentimental but not sloppy, that invites you into its warm heart without offending your cynical head."
m/double_indemnity,Rob Vaux,False,Flipside Movie Emporium,Fresh,5/5,2002-08-05,
m/primeval,Mark Palermo,False,"The Coast (Halifax, Nova Scotia)",Rotten,,2007-01-17,"As if the point wasn't already enforced in Turistas, when you step off American soil you'll have to deal with other ethnicities trying to kill you."
m/once_upon_a_time_in_america,Tim Brayton,False,Antagony & Ecstasy,Fresh,7/10,2011-09-13,"Handsomely mounted beyond a shadow of a doubt, but as the final statement in Leone's career, it mostly makes me think of how fantastic his Westerns were."
m/kung_fu_hustle,Rob Gonsalves,False,eFilmCritic.com,Fresh,5/5,2007-08-04,"The laws of physics no longer apply, if they ever did; characters leap, run at neck-breaking speed, bash each other through several walls with one blow."
m/king_arthur_legend_of_the_sword,Louisa Moore,False,Screen Zealots,Rotten,2/5,2018-12-20,"Mostly just a lot of noise and a lot of style over substance, resulting in a whole lot of bored audiences."
m/marriage_story_2019,Jazz Tangcay,False,Awards Daily,Fresh,,2019-10-08,Marriage Story is a timeless look at relationships that will be talked about for years to come. Marriage Story is perfection.
m/invention_of_lying,Michael Rechtshaffen,True,Hollywood Reporter,Fresh,,2009-09-30,One of the fall's funniest films -- honest.
m/duane_hopwood,Walter Chaw,False,Film Freak Central,Rotten,1.5/4,2005-11-17,"Schwimmer's fine, but Duane Hopwood is flat and uninvolving for long stretches."
m/detective_dee_and_the_mystery_of_the_phantom_flame,Duane Dudek,False,Milwaukee Journal Sentinel,Rotten,2.5/4,2011-10-20,"There is nothing wrong with its reach, but its grasp of genre elements is random."
m/family_stone,Jack Garner,False,Rochester Democrat and Chronicle,Fresh,8/10,2005-12-16,"Thomas Bezucha applies just the right light touch to the film, layering in strong dollops of wit, wackiness and warmth, making it among the best of its type."
m/ladykillers,Jeffrey M. Anderson,False,Combustible Celluloid,Rotten,2.5/4,2004-03-26,"Most of the gags are repeated from old time sources, and they're repeated over and over again."
m/the_lion_king,Allan Hunter,False,Daily Express (UK),Fresh,5/5,2011-10-06,The 3D technology adds some eye-popping moments but the best thing about this reissue is the chance for a new generation to see a modern classic on a cinema screen.
m/pina_3d,Marsha McCreadie,False,Film Journal International,Fresh,,2012-01-06,"With a breakout use of 3D for artistic rather than solely commercial blockbuster purposes, German director Wim Wenders gives extraordinary life to the work of choreographer Pina Bausch."
m/chronicles_of_narnia_lion_witch_wardrobe,Christopher Tookey,False,Daily Mail (UK),Fresh,,2005-12-08,Expect your heart -- and the hearts of your children -- to soar.
m/merry_gentleman,Josh Winning,True,Little White Lies,Fresh,,2009-12-04,"Keaton the director wisely draws a leaf from Clint Eastwood's book. Keeping the framing neat, his style is the kind of unobtrusive classical filmmaking that is a dying breed in contemporary Hollywood."
m/pianist,Carrie Rickey,True,Philadelphia Inquirer,Fresh,3.5/4,2003-01-03,"It is a chilling account, as barren of emotions as a Samuel Beckett play, and yet it is indescribably moving."
m/pom_wonderful_presents_the_greatest_movie_ever_sold,Sukhdev Sandhu,True,Daily Telegraph (UK),Rotten,1/5,2011-06-10,It makes one wish Spurlock would show a bit more intellectual and political muscle rather than being content with lightweight showmanship that is in thrall to the commodification it claims to abhor.
m/menace_ii_society,Owen Gleiberman,True,Entertainment Weekly,Fresh,A,2008-03-17,"Bleak, brilliant, and unsparing: a full-scale vision of the madness that is tearing up the black inner city."
m/the_accountant_2016,Sonny Bunch,False,Washington Free Beacon,Fresh,2.5/4,2016-10-14,"What could've been a great, fun, no-frills high-concept action flick is instead something far more mediocre and frustrating."
m/tomb_raider_2018,Joey Magidson,False,AwardsCircuit.com,Rotten,2/4,2018-10-11,"Vikander doesn't disappoint, but everyone else does."
m/peepli-live,Nikhat Kazmi,False,The Times of India,Fresh,3.5/5,2020-02-28,Big question: How smart can Indian cinema get? Exhilarating answer: Very smart.
m/big_mommas_like_father_like_son,Roz Laws,False,Birmingham Post,Rotten,1/5,2011-02-16,"The movie is at least 20 minutes too long. Actually, it's 107 minutes too long."
m/the_walk_2015,Matthew Bond,False,The Mail on Sunday (UK),Fresh,4/5,2017-10-26,"It doesn't matter that it's all trickery; the end result is totally convincing and thrillingly real, with the walk itself providing the most exciting yet exhausting cinema experience you'll have all year."
m/a_hijacking,Jim Schembri,False,3AW,Fresh,4/5,2013-09-29,"Absorbing, realistic, non-sensationalist drama."
m/1095420-high_fidelity,Gary Thompson,False,Philadelphia Daily News,Fresh,,2014-02-10,"The virtues of High Fidelity are that Rob owns up to his obvious shortcomings, and that Cusack's performance has a self-deprecating edge that muffles the pops and scratches of Rob's personality."
m/10010680-boogie,James Christopher,True,Times (UK),Fresh,3/5,2009-01-16,An impressive chamber piece by a director who needs watching.
m/alone_in_the_dark,Philip Wuntch,True,Dallas Morning News,Rotten,F,2005-01-27,"If nothing else, Alone in the Dark proves that it's possible to 'dumb down' a video game."
m/holiday_inn,Scott Nash,False,Three Movie Buffs,Fresh,3/4,2013-12-04,"Although all the holiday's are covered, this is really a Christmas movie at heart. Overshadowed by its more famous (and overrated) remake, Holiday Inn deserves more credit than it gets."
m/step_into_liquid,John A. Nesbit,False,ToxicUniverse.com,Fresh,4.5/5,2003-09-05,'inarticulate' surfers are really human beings that express themselves best silently in the ocean-true poets of the seashore
m/getting_even_with_dad,Jeffrey Westhoff,False,"Northwest Herald (Crystal Lake, IL)",Rotten,0/5,2002-08-30,
m/twilight,Ben Mankiewicz,True,At the Movies,Rotten,,2008-11-24,I think this film is definitely a victim of it's own expectations.
